iter	Passed	Remaining
173	5423	25744
174	5451	25699
175	5479	25653
176	5503	25590
177	5531	25542
178	5560	25504
179	5590	25467
180	5614	25406
181	5643	25365
182	5673	25327
183	5702	25288
184	5726	25228
185	5752	25173
186	5776	25112
187	5801	25057
188	5824	24993
189	5848	24933
190	5874	24880
191	5898	24824
192	5922	24764
193	5946	24703
194	5979	24685
195	6005	24636
196	6029	24575
197	6056	24533
198	6082	24481
199	6107	24430
200	6134	24384
201	6157	24325
202	6183	24277
203	6208	24223
204	6234	24176
205	6257	24119
206	6283	24071
207	6307	24017
208	6333	23971
209	6356	23913
210	6385	23876
211	6415	23845
212	6439	23791
213	6464	23744
214	6488	23690
215	6516	23652
216	6540	23599
217	6565	23551
218	6590	23502
219	6616	23459
220	6641	23409
221	6666	23361
222	6690	23311
223	6717	23271
224	6746	23236
225	6769	23184
226	6796	23144
227	6820	23095
228	6852	23072
229	6883	23043
230	6912	23011
231	6939	22972
232	6965	22930
233	6992	22889
234	7015	22838
235	7043	22800
236	7069	22760
237	7119	22794
238	7147	22759
239	7171	22709
240	7197	22667
241	7221	22618
242	7256	22605
243	7281	22560
244	7306	22517
245	7331	22472
246	7359	22437
247	7384	22391
248	7413	22358
249	7439	22317
250	7464	22274
251	7492	22238
252	7515	22189
253	7542	22152
254	7566	22107
255	7594	22070
256	7616	22020
257	7643	21983
258	7675	21960
259	7699	21914
260	7726	21876
261	7754	21843
262	7780	21803
263	7810	21773
264	7836	21734
265	7860	21691
266	7888	21656
267	7913	21614
268	7940	21579
269	7974	21561
270	8006	21538
271	8031	21495
272	8060	21464
273	8094	21446
274	8120	21408
275	8143	21362
276	8168	21320
277	8191	21275
278	8218	21237
279	8241	21193
280	8267	21155
281	8291	21111
282	8318	21075
283	8342	21032
284	8367	20992
285	8390	20947
286	8418	20913
287	8445	20878
288	8470	20839
289	8494	20796
290	8523	20767
291	8552	20736
292	8575	20693
293	8600	20653
294	8625	20614
295	8652	20578
296	8676	20537
297	8701	20497
298	8724	20453
299	8751	20419
300	8775	20377
301	8800	20339
302	8823	20296
303	8850	20262
304	8873	20220
305	8898	20182
306	8922	20140
307	8957	20125
308	8983	20089
309	9006	20047
310	9033	20012
311	9057	19972
312	9103	19981
313	9129	19944
314	9153	19905
315	9179	19870
316	9203	19828
317	9227	19790
318	9251	19749
319	9278	19716
320	9302	19676
321	9328	19641
322	9359	19617
323	9385	19581
324	9411	19546
325	9434	19505
326	9460	19470
327	9485	19433
328	9511	19399
329	9534	19357
330	9562	19326
331	9586	19288
332	9612	19253
333	9635	19214
334	9664	19184
335	9691	19152
336	9715	19114
337	9741	19079
338	9764	19040
339	9792	19009
340	9823	18984
341	9847	18946
342	9873	18912
343	9898	18876
344	9925	18844
345	9950	18808
346	9978	18777
347	10001	18738
348	10030	18710
349	10061	18686
350	10090	18657
351	10114	18618
352	10139	18583
353	10162	18544
354	10188	18510
355	10219	18486
356	10242	18448
357	10267	18412
358	10293	18379
359	10319	18346
360	10344	18309
361	10369	18275
362	10393	18238
363	10421	18209
364	10445	18172
365	10472	18140
366	10495	18103
367	10523	18073
368	10547	18037
369	10574	18005
370	10597	17967
371	10632	17948
372	10657	17914
373	10682	17879
374	10706	17844
375	10735	17816
376	10759	17781
377	10785	17747
378	10810	17713
379	10838	17683
380	10862	17647
381	10887	17613
382	10911	17577
383	10938	17547
384	10964	17515
385	10988	17479
386	11015	17447
387	11041	17415
388	11073	17392
389	11100	17362
390	11124	17326
391	11151	17296
392	11175	17261
393	11202	17230
394	11227	17197
395	11267	17186
396	11291	17150
397	11318	17119
398	11347	17092
399	11373	17060
400	11402	17032
401	11431	17005
402	11482	17009
